2022/07/17 11:16:28 [error] 15752#2100: *7508 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:41:29 [error] 15752#2100: *7541 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:43:48 [error] 15752#2100: *7561 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=7 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=7", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:44:59 [error] 15752#2100: *7575 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist/?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist/?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:45:57 [error] 15752#2100: *7575 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&fri HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&fri", host: "chat.com"
2022/07/17 11:46:37 [error] 15752#2100: *7575 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/friendlist?userid=7&friend_type=0 HTTP/1.1", upstream: "http://[::1]:8080/api/friendlist?userid=7&friend_type=0", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 11:48:38 [error] 15752#2100: *7608 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=7 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=7", host: "chat.com", referrer: "http://chat.com/"
2022/07/31 10:05:04 [error] 34280#34472: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /sign HTTP/1.1", upstream: "http://127.0.0.1:30000/sign", host: "chat.com"
2022/07/31 10:05:47 [error] 34280#34472: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:30000/favicon.ico", host: "chat.com", referrer: "http://chat.com/sign"
2022/07/31 10:07:12 [error] 34280#34472: *5 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:30000/", host: "chat.com"
